Attack ID;Type of attack;Category;Hospital name;Governorate;Date;Closure;Reopening
140;Inaccessible due to insecurity;Obstruction to healthcare delivery;Al Quds Hospital;Gaza City;13-11-2023;;
141;Lack of fuel;Obstruction to healthcare delivery;Al Amal Hospital;Khan Younis;13-11-2023;;
142;Occupation of facility;Siege, occupation of the facility or use as a military base;Al Shifa Medical Hospital;Gaza City;15-11-2023;;
143;Search;Violence against individuals;Al Shifa Medical Hospital;Gaza City;15-11-2023;;
144;Interrogation;Violence against individuals;Al Shifa Medical Hospital;Gaza City;15-11-2023;;
145;Shelling;Violence with heavy weapons, fire or chemical agent;Jordanian field Hospital;Gaza City;15-11-2023;14-11-2023;
146;Bulldozer;Violence with heavy weapons, fire or chemical agent;Al Shifa Medical Hospital;Gaza City;16-11-2023;;
147;Siege;Siege, occupation of the facility or use as a military base;Al Ahli Arab Hospital;Gaza City;16-11-2023;;
148;Bomb;Violence with heavy weapons, fire or chemical agent;Wafa Geriatric Hospital;Gaza City;17-11-2023;;
149;Order of evacuation;Evacuation order;Al Shifa Medical Hospital;Gaza City;18-11-2023;;
150;Search;Violence against individuals;Al Shifa Medical Hospital;Gaza City;19-11-2023;;
151;Interrogation;Violence against individuals;Al Shifa Medical Hospital;Gaza City;19-11-2023;;
152;Arrestation;Violence against individuals;Al Shifa Medical Hospital;Gaza City;19-11-2023;;
153;Hit;Violence with heavy weapons, fire or chemical agent;Indonesian Hospital;Gaza North;20-11-2023;;
154;Artillery;Violence with heavy weapons, fire or chemical agent;Indonesian Hospital;Gaza North;20-11-2023;;
155;Siege;Siege, occupation of the facility or use as a military base;Indonesian Hospital;Gaza North;20-11-2023;;
156;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Awda Hospital-North;Gaza North;21-11-2023;21-11-2023;24-11-2023
157;Order of evacuation;Evacuation order;Indonesian Hospital;Gaza North;21-11-2023;;
158;Strike;Violence with heavy weapons, fire or chemical agent;Indonesian Hospital;Gaza North;21-11-2023;;
159;Lack of fuel;Obstruction to healthcare delivery;Kamal Adwan Hospital;Gaza North;22-11-2023;;
160;Arrestation;Violence against individuals;Indonesian Hospital;Gaza North;23-11-2023;;
161;Hit;Violence with heavy weapons, fire or chemical agent;Indonesian Hospital;Gaza North;23-11-2023;;
162;Raid;Siege, occupation of the facility or use as a military base;Indonesian Hospital;Gaza North;23-11-2023;19-12-2023;04-05-2024
163;Raid;Siege, occupation of the facility or use as a military base;Noura Al-Kaabi;Gaza North;29-11-2023;;
164;Bomb;Violence with heavy weapons, fire or chemical agent;Al Awda Hospital-North;Gaza North;01-12-2023;;
165;Lack of fuel;Obstruction to healthcare delivery;Al Awda Hospital-Nuseirat;Deir al Balah;02-12-2023;;
166;Airstrike;Violence with heavy weapons, fire or chemical agent;Kamal Adwan Hospital;Gaza North;03-12-2023;;
167;Airstrike;Violence with heavy weapons, fire or chemical agent;Kamal Adwan Hospital;Gaza North;03-12-2023;;
168;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Awda Hospital-North;Gaza North;03-12-2023;;
169;Siege;Siege, occupation of the facility or use as a military base;Al Awda Hospital-North;Gaza North;05-12-2023;;
170;Sniper;Violence against individuals;Al Awda Hospital-North;Gaza North;05-12-2023;;
171;Siege;Siege, occupation of the facility or use as a military base;Kamal Adwan Hospital;Gaza North;05-12-2023;06-12-2023;15-01-2024
172;Artillery;Violence with heavy weapons, fire or chemical agent;Kamal Adwan Hospital;Gaza North;05-12-2023;;
173;Lack of fuel;Obstruction to healthcare delivery;Tal Al-Sultan Maternity hospital;Rafah;05-12-2023;;
174;Bomb;Violence with heavy weapons, fire or chemical agent;Al Awda Hospital-North;Gaza North;06-12-2023;;
175;Sniper;Violence against individuals;Al Awda Hospital-North;Gaza North;06-12-2023;;
176;Shelling;Violence with heavy weapons, fire or chemical agent;Al Awda Hospital-North;Gaza North;07-12-2023;;
177;Bomb;Violence with heavy weapons, fire or chemical agent;Kamal Adwan Hospital;Gaza North;07-12-2023;;
178;Sniper;Violence against individuals;Al Awda Hospital-North;Gaza North;07-12-2023;;
179;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Yamas As Saeed Hospital;Gaza North;07-12-2023;;
180;Siege;Siege, occupation of the facility or use as a military base;Al Awda Hospital-North;Gaza North;07-12-2023;;
181;Shelling;Violence with heavy weapons, fire or chemical agent;Al Yamas As Saeed Hospital;Gaza North;08-12-2023;;
182;Airstrike;Violence with heavy weapons, fire or chemical agent;Yaffa Hospital;Deir al Balah;08-12-2023;08-12-2023;08-01-2025
183;Lack of fuel/medical supply;Obstruction to healthcare delivery;European Hospital;Khan Younis;08-12-2023;;
184;Sniper;Violence against individuals;Al Awda Hospital-North;Gaza North;08-12-2023;;
185;Sniper;Violence against individuals;Al Awda Hospital-North;Gaza North;08-12-2023;;
186;Shelling;Violence with heavy weapons, fire or chemical agent;Al Amal Hospital;Khan Younis;08-12-2023;;
187;delayed access to care due to insecurity;Obstruction to healthcare delivery;Al Amal Hospital;Khan Younis;08-12-2023;;
188;delayed access to care due to insecurity;Obstruction to healthcare delivery;European Hospital;Khan Younis;08-12-2023;;
189;Firearm;Violence against individuals;Al Awda Hospital-North;Gaza North;09-12-2023;;
190;delayed access to care due to insecurity;Obstruction to healthcare delivery;Al Amal Hospital;Khan Younis;09-12-2023;;
191;delayed access to care due to insecurity;Obstruction to healthcare delivery;European Hospital;Khan Younis;09-12-2023;;
192;Hit;Violence with heavy weapons, fire or chemical agent;Al Awda Hospital-North;Gaza North;09-12-2023;;
193;Shelling;Violence with heavy weapons, fire or chemical agent;Jordanian field Hospital;Khan Younis;09-12-2023;;
194;Artillery;Violence with heavy weapons, fire or chemical agent;Al Yamas As Saeed Hospital;Gaza North;09-12-2023;;
195;Shelling;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;09-12-2023;;
196;Firearm;Violence against individuals;Al Yamas As Saeed Hospital;Gaza North;09-12-2023;;
197;Setting fire;Violence with heavy weapons, fire or chemical agent;Al Yamas As Saeed Hospital;Gaza North;09-12-2023;;
198;delayed access to care due to insecurity;Obstruction to healthcare delivery;European Hospital;Khan Younis;09-12-2023;;
199;Siege;Siege, occupation of the facility or use as a military base;Kamal Adwan Hospital;Gaza North;09-12-2023;;
200;delayed access to care due to insecurity;Obstruction to healthcare delivery;Al Aqsa Hospital;Deir al Balah;10-12-2023;;
201;delayed access to care due to insecurity;Obstruction to healthcare delivery;Al Amal Hospital;Khan Younis;10-12-2023;;
202;Shelling;Violence with heavy weapons, fire or chemical agent;Kamal Adwan Hospital;Gaza North;11-12-2023;;
203;delayed access to care due to insecurity;Obstruction to healthcare delivery;Al Aqsa Hospital;Deir al Balah;11-12-2023;;
204;delayed access to care due to insecurity;Obstruction to healthcare delivery;Al Amal Hospital;Khan Younis;11-12-2023;;
205;delayed access to care due to insecurity;Obstruction to healthcare delivery;Nasser Hospital;Khan Younis;11-12-2023;;
206;delayed access to care due to insecurity;Obstruction to healthcare delivery;Al Amal Hospital;Khan Younis;11-12-2023;;
207;Raid;Siege, occupation of the facility or use as a military base;Kamal Adwan Hospital;Gaza North;12-12-2023;;
208;delayed access to care due to insecurity;Obstruction to healthcare delivery;Nasser Hospital;Khan Younis;12-12-2023;;
209;delayed access to care due to insecurity;Obstruction to healthcare delivery;Al Amal Hospital;Khan Younis;12-12-2023;;
210;Lack of fuel/medical supply;Obstruction to healthcare delivery;Al Awda Hospital-North;Gaza North;12-12-2023;11-12-2023;27-12-2023
211;Interrogation;Violence against individuals;Kamal Adwan Hospital;Gaza North;12-12-2023;;
212;Physical abuse;Violence against individuals;Kamal Adwan Hospital;Gaza North;12-12-2023;;
213;Arrestation;Violence against individuals;Kamal Adwan Hospital;Gaza North;12-12-2023;;
214;Order of evacuation;Evacuation order;Kamal Adwan Hospital;Gaza North;12-12-2023;;
215;Firearm;Violence against individuals;Kamal Adwan Hospital;Gaza North;13-12-2023;;
216;delayed access to care due to insecurity;Obstruction to healthcare delivery;Nasser Hospital;Khan Younis;13-12-2023;;
217;Denial of access to care;Obstruction to healthcare delivery;Kamal Adwan Hospital;Gaza North;14-12-2023;;
218;Bulldozer;Violence with heavy weapons, fire or chemical agent;Kamal Adwan Hospital;Gaza North;14-12-2023;;
219;Setting fire;Violence with heavy weapons, fire or chemical agent;Kamal Adwan Hospital;Gaza North;14-12-2023;;
220;Arrestation;Violence against individuals;Kamal Adwan Hospital;Gaza North;14-12-2023;;
221;Shelling;Violence with heavy weapons, fire or chemical agent;Al Ahli Arab Hospital;Gaza City;14-12-2023;;
222;Bulldozer;Violence with heavy weapons, fire or chemical agent;Kamal Adwan Hospital;Gaza North;16-12-2023;;
223;Lack of fuel/medical supply;Obstruction to healthcare delivery;Al Awda Hospital-North;Gaza North;16-12-2023;;
224;Hit;Violence with heavy weapons, fire or chemical agent;Al Awda Hospital-North;Gaza North;16-12-2023;;
225;Firearm;Violence against individuals;Al Shifa Medical Hospital;Gaza City;17-12-2023;;
226;Occupation of facility;Siege, occupation of the facility or use as a military base;Al Awda Hospital-North;Gaza North;17-12-2023;;
227;Psychological abuse;Violence against individuals;Al Awda Hospital-North;Gaza North;17-12-2023;;
228;Arrestation;Violence against individuals;Al Awda Hospital-North;Gaza North;17-12-2023;;
229;Interrogation;Violence against individuals;Al Awda Hospital-North;Gaza North;17-12-2023;;
230;Physical abuse;Violence against individuals;Al Awda Hospital-North;Gaza North;17-12-2023;;
231;Shelling;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;17-12-2023;;
232;Raid;Siege, occupation of the facility or use as a military base;Al Ahli Arab Hospital;Gaza City;18-12-2023;18-12-2023;27-12-2023
233;Order of evacuation;Evacuation order;Al Ahli Arab Hospital;Gaza City;18-12-2023;;
234;Arrestation;Violence against individuals;Al Ahli Arab Hospital;Gaza City;18-12-2023;;
235;Raid;Siege, occupation of the facility or use as a military base;Al Shifa Medical Hospital;Gaza City;18-12-2023;;
236;Shelling;Violence with heavy weapons, fire or chemical agent;Al Shifa Medical Hospital;Gaza City;18-12-2023;;
237;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Shifa Medical Hospital;Gaza City;18-12-2023;;
238;Hit;Violence with heavy weapons, fire or chemical agent;Al Ahli Arab Hospital;Gaza City;18-12-2023;;
239;Not specified;Not specified;Nasser Hospital;Khan Younis;18-12-2023;;
240;Arrestation;Violence against individuals;Al Shifa Medical Hospital;Gaza City;19-12-2023;;
241;Lack of fuel/medical supply;Obstruction to healthcare delivery;Al Awda Hospital-North;Gaza North;19-12-2023;;
242;Arrestation;Violence against individuals;Al Shifa Medical Hospital;Gaza City;19-12-2023;;
243;Bomb;Violence with heavy weapons, fire or chemical agent;Al Aqsa Hospital;Deir al Balah;20-12-2023;;
244;Artillery;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;20-12-2023;;
245;Inaccessible due to insecurity;Obstruction to healthcare delivery;Al Ahli Arab Hospital;Gaza City;21-12-2023;;
246;Shelling;Violence with heavy weapons, fire or chemical agent;Al Amal Hospital;Khan Younis;21-12-2023;;
247;Inaccessible due to insecurity;Obstruction to healthcare delivery;Al Awda Hospital-North;Gaza North;21-12-2023;;
248;Sniper;Violence against individuals;Al Awda Hospital-North;Gaza North;21-12-2023;;
249;Inaccessible due to insecurity;Obstruction to healthcare delivery;Al Shifa Medical Hospital;Gaza City;21-12-2023;;
250;Inaccessible due to insecurity;Obstruction to healthcare delivery;Al Sahaba Hospital;Gaza City;21-12-2023;11-12-2023;19-12-2023
251;Hit;Violence with heavy weapons, fire or chemical agent;Al-Khair Hospital;Khan Younis;25-12-2023;;
252;Search;Violence against individuals;Al Quds Hospital;Gaza City;27-12-2023;;
253;Bomb;Violence with heavy weapons, fire or chemical agent;Al Amal Hospital;Khan Younis;02-01-2024;;
254;Strike;Violence with heavy weapons, fire or chemical agent;Al Amal Hospital;Khan Younis;04-01-2024;;
255;Firearm;Violence against individuals;Al Aqsa Hospital;Deir al Balah;05-01-2024;;
256;Shelling;Violence with heavy weapons, fire or chemical agent;Al Amal Hospital;Khan Younis;06-01-2024;;
257;Sniper;Violence against individuals;Al Amal Hospital;Khan Younis;06-01-2024;;
258;delayed access to care due to insecurity;Obstruction to healthcare delivery;Al Aqsa Hospital;Deir al Balah;07-01-2024;;
259;Artillery;Violence with heavy weapons, fire or chemical agent;Al Aqsa Hospital;Deir al Balah;07-01-2024;;
260;Denial of delivery;Obstruction to healthcare delivery;Al Awda Hospital-North;Gaza North;07-01-2024;;
261;Order of evacuation;Evacuation order;Al Aqsa Hospital;Deir al Balah;07-01-2024;;
262;Strike;Violence with heavy weapons, fire or chemical agent;European Hospital;Khan Younis;08-01-2024;;
263;Denial of delivery;Obstruction to healthcare delivery;Al Awda Hospital-North;Gaza North;08-01-2024;;
264;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Aqsa Hospital;Deir al Balah;10-01-2024;;
265;Lack of fuel;Obstruction to healthcare delivery;Al Aqsa Hospital;Deir al Balah;12-01-2024;;
266;Sniper;Violence against individuals;Al Shifa Medical Hospital;Gaza City;13-01-2024;;
267;delayed access to care due to insecurity;Obstruction to healthcare delivery;Nasser Hospital;Khan Younis;15-01-2024;;
268;Shelling;Violence with heavy weapons, fire or chemical agent;Al Amal Hospital;Khan Younis;16-01-2024;;
269;Shelling;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;16-01-2024;;
270;Denial of access to care;Obstruction to healthcare delivery;Al Quds Hospital;Gaza City;16-01-2024;;
271;Threat;Violence against individuals;Al Quds Hospital;Gaza City;16-01-2024;;
272;Shelling;Violence with heavy weapons, fire or chemical agent;Jordanian field Hospital;Khan Younis;17-01-2024;;
273;Firearm;Violence against individuals;Al Amal Hospital;Khan Younis;19-01-2024;;
274;Inaccessible due to insecurity;Obstruction to healthcare delivery;Al-Khair Hospital;Khan Younis;22-01-2024;;
275;Order of evacuation;Evacuation order;Al-Khair Hospital;Khan Younis;22-01-2024;;
276;Arrestation;Violence against individuals;Al-Khair Hospital;Khan Younis;22-01-2024;;
277;Raid;Siege, occupation of the facility or use as a military base;Al-Khair Hospital;Khan Younis;22-01-2024;;
278;Siege;Siege, occupation of the facility or use as a military base;Al Amal Hospital;Khan Younis;22-01-2024;;
279;Order of evacuation;Evacuation order;Al Amal Hospital;Khan Younis;23-01-2024;;
280;Inaccessible due to insecurity;Obstruction to healthcare delivery;Nasser Hospital;Khan Younis;23-01-2024;;
281;Order of evacuation;Evacuation order;Nasser Hospital;Khan Younis;23-01-2024;25-01-2024;14-06-2024
282;Order of evacuation;Evacuation order;Jordanian field Hospital;Khan Younis;23-01-2024;;
283;Siege;Siege, occupation of the facility or use as a military base;Nasser Hospital;Khan Younis;23-01-2024;;
284;Shelling;Violence with heavy weapons, fire or chemical agent;Al Amal Hospital;Khan Younis;23-01-2024;;
285;Siege;Siege, occupation of the facility or use as a military base;Al-Khair Hospital;Khan Younis;24-01-2024;25-01-2024;14-06-2024
286;Artillery;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;25-01-2024;;
287;Shelling;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;25-01-2024;;
288;Lack of fuel/medical supply;Obstruction to healthcare delivery;Nasser Hospital;Khan Younis;25-01-2024;;
289;Shelling;Violence with heavy weapons, fire or chemical agent;Al Amal Hospital;Khan Younis;26-01-2024;;
290;Lack of fuel;Obstruction to healthcare delivery;Nasser Hospital;Khan Younis;26-01-2024;;
291;Artillery;Violence with heavy weapons, fire or chemical agent;Nasser Hospital;Khan Younis;26-01-2024;;
292;Order of evacuation;Evacuation order;Nasser Hospital;Khan Younis;26-01-2024;;
