Attack ID;Source 1;Report number;Source 2;Type of attack;Category;Hospital name;Governorate;Date;Month-year;Year-month;Month;Year; Killed staff FU ; Killed staff II ; Killed patients FU ; Killed patients II ; Killed individuals FU ; Killed individuals II ; Detained staff FU ; Detained staff II ; Detained patients FU ; Detained patients II ; Detained individuals FU ; Detained individuals II ; Injured staff FU ; Injured staff II ; Injured patients FU ; Injured patients II ; Injured individuals FU ; Injured individuals II ;Closure;Reopening;Comments
29;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
30;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
31;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
32;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
33;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
34;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
35;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
36;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
37;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
38;Flash Update;8;No;Order of evacuation;Evacuation order;Not specified;Gaza City;14-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
39;Insecurity Insight;NA;No;Threat;Violence against individuals;Kuwait Hospital;Rafah;15-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
40;Insecurity Insight;NA;No;Order of evacuation;Evacuation order;Kuwait Hospital;Rafah;15-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
41;Insecurity Insight;NA;No;Lack of fuel;Obstruction to healthcare delivery;Turkish Friendship Hospital;Gaza City;17-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
42;Flash Update;11;Insecurity Insight;Airstrike;Violence with heavy weapons, fire or chemical agent;Al Karama Specialized Hospital;Gaza North;17-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;17-10-2023;;
43;Flash Update;11,12;Insecurity Insight;Bomb;Violence with heavy weapons, fire or chemical agent;Al Ahli Arab Hospital;Gaza City;17-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
44;Insecurity Insight;NA;No;Threat;Violence against individuals;Al Aqsa Hospital;Deir al Balah;17-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
45;Insecurity Insight;NA;No;Lack of fuel/medical supply;Obstruction to healthcare delivery;Al Shifa Medical Hospital;Gaza City;17-10-2023;oct-23;2023-10;10;2023; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;;
